Band0, Band1, Band2
67, 215, 189
55, 71, 161
218, 101, 82
7, 93, 88
175, 35, 64
175, 182, 208
181, 182, 26
62, 10, 88
58, 98, 204
93, 0, 71
39, 111, 50
111, 211, 54
6, 19, 223
2, 173, 168
62, 104, 82
64, 38, 87
10, 94, 213
58, 38, 151
49, 107, 149
44, 114, 1
180, 130, 175
175, 214, 5
162, 107, 178
188, 130, 145
178, 215, 237
195, 73, 165
161, 130, 186
124, 121, 161
165, 147, 173
189, 72, 189
175, 206, 172
64, 47, 30
165, 232, 173
36, 128, 189
126, 121, 187
182, 215, 183
169, 0, 145
181, 215, 206
175, 129, 189
216, 139, 188
181, 128, 189
189, 228, 155
178, 129, 189
21, 130, 170
15, 98, 181
190, 121, 168
176, 132, 183
195, 142, 181
195, 130, 186
181, 215, 166
188, 106, 145
171, 133, 173
175, 215, 177
176, 131, 183
166, 131, 142
53, 106, 173
189, 132, 180
171, 122, 181
182, 132, 161
162, 140, 165
198, 107, 191
117, 97, 189
176, 126, 180
220, 130, 173
39, 151, 251
72, 125, 159
177, 152, 177
171, 114, 4
173, 133, 14
178, 214, 155
172, 109, 155
150, 73, 181
178, 210, 177
168, 142, 171
170, 139, 132
69, 11, 0
228, 136, 159
151, 124, 154
127, 103, 53
66, 90, 163
61, 71, 114
10, 8, 169
192, 118, 177
183, 98, 12
218, 107, 123
127, 214, 40
151, 228, 174
195, 0, 156
95, 102, 81
164, 99, 57
160, 172, 62
108, 171, 147
7, 192, 169
112, 26, 219
199, 77, 112
103, 41, 211
163, 100, 71
161, 100, 61
22, 154, 89
92, 95, 151
60, 29, 53
38, 220, 58
185, 89, 162
163, 73, 212
153, 214, 37
175, 97, 187
173, 133, 2
173, 138, 175
175, 97, 105
181, 74, 147
178, 108, 153
171, 119, 18
215, 151, 13
196, 39, 112
190, 36, 214
196, 154, 85
198, 153, 81
164, 89, 85
162, 40, 233
162, 48, 151
170, 232, 129
218, 142, 132
139, 133, 13
15, 55, 54
10, 185, 167
20, 182, 70
82, 175, 211
93, 176, 54
85, 192, 25
93, 192, 231
17, 192, 231
93, 176, 1
85, 12, 54
108, 167, 209
7, 8, 167
58, 94, 25
105, 113, 107
54, 101, 38
66, 115, 181
221, 156, 75
7, 94, 38
162, 28, 82
164, 72, 57
161, 48, 88
66, 122, 87
9, 22, 70
192, 97, 189
15, 130, 178
195, 139, 171
68, 174, 209
9, 21, 160
57, 106, 178
66, 73, 169
183, 144, 38
186, 88, 173
161, 157, 31
10, 27, 151
86, 34, 90
110, 28, 211
6, 181, 212
10, 114, 169
109, 112, 167
59, 78, 166
49, 138, 236
182, 71, 168
13, 129, 33
185, 72, 161
220, 138, 35
188, 0, 227
54, 235, 181
195, 164, 159
164, 210, 179
195, 122, 170
174, 108, 172
181, 132, 153
186, 107, 25
174, 214, 172
183, 107, 243
52, 129, 202
186, 106, 236
195, 142, 156
181, 132, 166
174, 128, 172
195, 142, 2
162, 130, 171
152, 139, 4
165, 0, 175
53, 133, 173
162, 157, 165
