Band0, Band1, Band2
197, 214, 8
171, 231, 134
62, 140, 13
178, 215, 8
162, 107, 149
3, 200, 168
94, 177, 172
95, 196, 167
104, 191, 218
22, 59, 120
6, 1, 220
188, 216, 3
196, 228, 154
196, 132, 58
190, 97, 200
1, 81, 150
97, 7, 173
93, 201, 212
39, 188, 73
39, 184, 94
39, 184, 73
108, 180, 221
64, 133, 12
183, 143, 13
192, 155, 105
51, 140, 25
93, 196, 79
22, 59, 218
163, 162, 87
22, 52, 70
181, 52, 89
163, 165, 65
21, 92, 65
39, 90, 49
104, 18, 59
93, 91, 205
105, 18, 58
4, 89, 85
9, 26, 160
44, 225, 44
24, 158, 231
198, 73, 13
62, 94, 48
198, 130, 44
21, 166, 211
63, 155, 158
64, 114, 150
62, 94, 171
48, 205, 164
18, 107, 149
14, 99, 180
62, 133, 188
42, 71, 147
42, 11, 172
174, 118, 135
49, 107, 173
41, 108, 189
219, 117, 160
198, 133, 169
171, 140, 186
178, 121, 187
174, 214, 161
182, 129, 185
195, 133, 173
175, 131, 193
188, 107, 190
196, 131, 172
179, 73, 188
195, 125, 173
166, 131, 161
197, 128, 166
171, 139, 188
195, 122, 173
161, 216, 188
181, 121, 161
72, 133, 236
179, 130, 165
174, 121, 189
182, 126, 161
173, 130, 165
182, 121, 189
166, 131, 183
197, 132, 161
182, 74, 189
190, 121, 183
164, 132, 168
198, 130, 181
186, 94, 173
195, 130, 173
164, 124, 161
186, 73, 170
175, 126, 193
220, 133, 170
186, 130, 173
162, 143, 188
188, 0, 145
175, 124, 172
220, 144, 188
161, 98, 145
183, 130, 170
73, 131, 160
196, 129, 177
179, 122, 181
179, 139, 173
170, 143, 188
195, 130, 188
179, 142, 186
212, 124, 161
182, 128, 168
184, 131, 189
195, 144, 129
198, 0, 181
171, 143, 190
192, 110, 185
175, 131, 161
69, 113, 168
12, 81, 170
8, 113, 168
10, 112, 169
58, 19, 123
163, 91, 79
39, 82, 52
44, 85, 87
96, 20, 150
39, 20, 138
191, 206, 172
66, 107, 145
110, 112, 227
126, 132, 179
190, 244, 184
105, 18, 147
7, 213, 7
2, 63, 208
107, 19, 3
42, 89, 33
107, 42, 41
107, 28, 175
107, 28, 130
58, 106, 79
11, 11, 168
10, 112, 169
14, 87, 59
22, 66, 27
10, 0, 152
60, 21, 168
118, 207, 38
111, 19, 233
93, 19, 48
39, 20, 49
40, 26, 64
105, 26, 148
7, 46, 212
7, 88, 150
111, 91, 151
112, 87, 153
10, 81, 167
3, 11, 168
8, 174, 168
2, 69, 106
7, 60, 1
109, 19, 54
111, 166, 54
107, 188, 1
6, 193, 1
58, 14, 170
11, 11, 168
49, 76, 156
7, 73, 178
42, 34, 221
54, 151, 171
58, 107, 176
184, 71, 168
62, 112, 171
41, 71, 180
185, 72, 172
77, 122, 167
48, 71, 172
42, 71, 164
15, 73, 169
53, 90, 181
41, 129, 166
189, 131, 180
164, 132, 189
205, 142, 165
188, 106, 169
220, 143, 18
194, 130, 170
21, 106, 173
16, 142, 165
176, 145, 172
186, 0, 145
111, 20, 25
62, 0, 212
195, 147, 173
26, 133, 194
184, 128, 168
15, 114, 171
193, 229, 131
164, 214, 177
195, 73, 173
149, 126, 177
38, 71, 189
175, 228, 172
175, 116, 161
21, 142, 170
189, 154, 40
189, 121, 168
171, 130, 188
179, 143, 181
186, 130, 173
164, 228, 187
162, 106, 145
174, 129, 172
175, 215, 161
176, 131, 183
169, 142, 145
44, 130, 173
183, 133, 170
169, 122, 188
66, 8, 11
64, 112, 173
185, 113, 162
168, 157, 190
220, 143, 236
173, 142, 186
40, 74, 195
72, 125, 171
165, 107, 188
183, 143, 170
184, 97, 168
214, 121, 183
198, 142, 188
21, 107, 145
176, 217, 183
195, 73, 188
163, 140, 170
176, 131, 189
189, 108, 180
13, 132, 189
161, 122, 170
175, 215, 172
15, 73, 145
48, 109, 172
220, 144, 182
161, 0, 169
176, 141, 183
178, 206, 189
169, 130, 186
191, 121, 177
195, 130, 181
162, 125, 170
186, 130, 236
218, 144, 186
40, 97, 161
185, 180, 162
118, 55, 71
112, 31, 219
69, 113, 189
57, 133, 186
164, 128, 80
15, 28, 231
38, 11, 103
22, 170, 225
163, 162, 73
22, 34, 74
105, 89, 85
2, 174, 221
61, 74, 143
9, 71, 221
41, 18, 37
7, 91, 156
10, 14, 169
57, 136, 231
49, 138, 171
188, 122, 231
186, 107, 138
165, 107, 13
65, 118, 27
95, 166, 51
118, 95, 50
95, 93, 51
66, 46, 87
109, 93, 151
18, 86, 123
7, 106, 152
3, 11, 164
10, 20, 169
7, 9, 167
60, 113, 168
59, 131, 105
196, 233, 177
7, 67, 243
11, 23, 42
58, 115, 17
60, 22, 43
6, 61, 171
10, 12, 167
7, 81, 169
10, 114, 173
68, 113, 166
57, 144, 243
60, 241, 19
60, 234, 19
6, 242, 20
9, 209, 206
7, 62, 35
10, 60, 12
7, 60, 16
109, 64, 13
4, 205, 58
108, 89, 58
7, 85, 151
10, 85, 169
10, 0, 181
60, 26, 162
111, 86, 204
112, 18, 148
3, 11, 168
8, 113, 218
10, 81, 170
7, 139, 245
64, 243, 240
97, 93, 32
111, 88, 30
96, 184, 87
112, 177, 209
93, 176, 150
93, 184, 213
105, 180, 74
111, 44, 73
96, 90, 73
112, 110, 119
7, 138, 2
68, 71, 168
48, 233, 43
31, 254, 250
55, 221, 42
59, 126, 42
56, 226, 133
85, 90, 6
196, 36, 8
181, 99, 105
52, 99, 105
62, 92, 151
53, 106, 169
188, 133, 159
107, 112, 243
44, 0, 1
162, 0, 165
185, 118, 180
186, 142, 173
179, 133, 170
175, 215, 189
172, 129, 183
162, 216, 173
195, 107, 188
186, 216, 173
190, 97, 195
166, 124, 168
195, 133, 173
197, 97, 40
196, 97, 183
181, 124, 168
181, 132, 141
171, 143, 181
197, 121, 187
182, 108, 183
161, 130, 181
183, 98, 186
194, 125, 173
178, 74, 193
166, 214, 189
