Band0, Band1, Band2
192, 116, 199
181, 72, 174
48, 118, 0
40, 128, 40
21, 142, 211
197, 78, 162
181, 36, 174
188, 0, 163
131, 12, 49
113, 55, 81
19, 175, 73
110, 162, 127
44, 119, 176
38, 80, 27
54, 138, 44
169, 73, 181
74, 94, 79
101, 57, 73
21, 51, 122
21, 12, 121
104, 183, 119
112, 171, 221
43, 18, 179
165, 98, 227
52, 214, 104
174, 71, 180
176, 218, 177
174, 210, 26
215, 148, 134
126, 208, 241
23, 155, 157
216, 138, 156
175, 160, 0
183, 122, 176
100, 168, 125
7, 79, 167
4, 180, 164
112, 180, 162
4, 78, 162
77, 79, 149
111, 83, 11
106, 89, 162
76, 114, 25
85, 181, 139
106, 174, 148
80, 197, 221
104, 191, 157
93, 194, 167
39, 13, 123
39, 192, 99
19, 192, 94
49, 207, 236
163, 94, 25
164, 215, 168
194, 98, 159
188, 106, 176
185, 121, 166
179, 94, 171
84, 181, 211
195, 216, 173
194, 138, 13
13, 71, 177
181, 155, 209
195, 130, 178
179, 106, 165
194, 142, 163
188, 112, 181
188, 138, 178
162, 94, 236
182, 97, 0
53, 122, 175
171, 107, 173
53, 119, 159
183, 73, 211
175, 118, 105
126, 191, 113
195, 139, 245
166, 129, 8
164, 78, 209
91, 119, 178
164, 128, 172
95, 196, 127
93, 195, 167
105, 197, 219
93, 178, 151
105, 197, 172
94, 177, 97
93, 195, 152
111, 181, 151
44, 81, 220
14, 174, 157
44, 93, 151
20, 199, 225
22, 187, 221
125, 172, 219
110, 193, 127
183, 60, 3
66, 165, 163
192, 71, 164
165, 98, 1
13, 78, 39
164, 214, 27
164, 71, 124
163, 8, 149
79, 184, 81
39, 57, 108
104, 183, 111
105, 187, 221
16, 186, 54
14, 167, 221
160, 52, 112
19, 51, 227
104, 163, 229
7, 181, 178
43, 71, 0
162, 112, 132
171, 125, 25
172, 218, 179
197, 214, 8
168, 130, 15
162, 142, 4
195, 133, 243
186, 142, 14
118, 216, 243
195, 138, 178
176, 108, 244
194, 138, 133
195, 142, 243
173, 133, 156
0, 109, 238
169, 73, 9
21, 107, 156
205, 114, 167
181, 214, 0
175, 129, 172
186, 119, 129
182, 154, 162
54, 130, 163
166, 72, 164
183, 119, 173
195, 130, 167
181, 74, 237
52, 205, 172
183, 107, 236
41, 71, 166
64, 88, 227
189, 99, 0
21, 112, 227
188, 107, 132
40, 71, 147
187, 118, 218
44, 33, 163
16, 142, 178
191, 26, 206
186, 73, 227
163, 73, 167
185, 129, 26
189, 72, 166
181, 34, 174
15, 133, 211
165, 161, 178
13, 72, 219
163, 119, 175
52, 99, 200
188, 106, 175
195, 114, 211
186, 94, 167
101, 186, 108
19, 162, 99
15, 186, 151
44, 81, 159
49, 130, 178
51, 138, 25
176, 132, 180
91, 190, 102
85, 186, 99
85, 53, 100
111, 57, 152
15, 0, 25
179, 73, 13
171, 107, 30
71, 71, 155
198, 142, 129
162, 130, 175
125, 80, 221
97, 51, 94
85, 46, 73
94, 34, 215
16, 73, 65
5, 99, 114
106, 99, 232
6, 0, 150
96, 38, 213
105, 72, 111
108, 160, 28
192, 109, 24
198, 136, 6
181, 72, 147
189, 132, 185
169, 0, 175
85, 181, 150
18, 194, 101
96, 186, 212
93, 161, 99
66, 133, 165
38, 99, 40
79, 79, 127
95, 92, 150
186, 130, 1
162, 133, 170
182, 129, 177
195, 94, 211
189, 121, 154
166, 118, 199
75, 187, 97
81, 79, 126
74, 53, 151
111, 186, 95
91, 42, 163
4, 187, 221
18, 162, 138
112, 183, 162
4, 182, 162
96, 79, 167
4, 180, 199
7, 46, 163
192, 121, 40
183, 94, 171
161, 122, 25
89, 31, 199
105, 180, 97
66, 0, 1
188, 114, 227
195, 130, 181
21, 119, 132
195, 46, 163
53, 133, 170
117, 132, 8
53, 0, 159
173, 125, 123
194, 76, 227
196, 121, 166
100, 182, 97
54, 133, 130
195, 0, 149
133, 132, 206
108, 183, 75
95, 161, 122
81, 162, 122
96, 165, 151
94, 71, 228
105, 29, 221
93, 28, 212
112, 89, 0
106, 160, 147
64, 81, 167
105, 72, 0
185, 72, 0
178, 129, 177
181, 126, 177
188, 95, 231
174, 118, 179
181, 74, 40
171, 107, 139
189, 97, 172
163, 95, 48
188, 143, 182
162, 0, 178
15, 106, 170
175, 215, 206
189, 71, 0
76, 130, 1
53, 142, 167
162, 0, 170
189, 118, 206
162, 73, 167
197, 132, 40
174, 118, 202
181, 132, 174
186, 107, 243
