Band0, Band1, Band2
44, 119, 169
64, 114, 138
64, 0, 171
64, 0, 167
191, 118, 168
48, 128, 172
60, 132, 187
49, 0, 145
42, 113, 40
49, 106, 169
62, 73, 171
64, 94, 165
44, 120, 171
8, 197, 168
112, 30, 221
6, 81, 151
110, 79, 220
112, 180, 107
111, 181, 151
7, 82, 169
61, 78, 168
8, 26, 168
4, 174, 221
110, 28, 151
6, 184, 150
58, 165, 151
112, 180, 221
6, 184, 150
8, 30, 172
8, 21, 168
61, 116, 172
66, 107, 169
42, 118, 189
64, 114, 171
171, 94, 145
13, 126, 172
195, 142, 1
175, 132, 189
14, 214, 180
215, 142, 181
38, 132, 161
174, 214, 177
218, 123, 173
53, 98, 186
169, 107, 181
14, 99, 183
199, 233, 40
186, 112, 145
117, 215, 180
220, 142, 181
193, 74, 180
173, 142, 173
181, 110, 161
175, 121, 172
181, 131, 189
21, 216, 173
195, 107, 129
165, 98, 194
197, 121, 180
126, 214, 189
162, 107, 173
190, 121, 172
164, 132, 189
200, 130, 170
176, 126, 183
186, 73, 145
171, 143, 236
66, 165, 170
49, 0, 1
164, 132, 189
178, 141, 237
186, 114, 188
169, 98, 173
159, 121, 161
165, 147, 173
53, 0, 145
164, 206, 172
181, 205, 189
182, 141, 40
26, 130, 145
169, 133, 173
165, 143, 182
174, 128, 137
181, 228, 155
179, 130, 190
149, 215, 177
181, 128, 189
183, 125, 175
213, 129, 189
21, 98, 170
49, 112, 169
48, 132, 180
59, 205, 172
191, 132, 105
178, 214, 184
161, 139, 170
188, 94, 145
171, 122, 173
195, 138, 236
218, 216, 186
161, 142, 170
185, 128, 183
188, 133, 173
171, 122, 165
162, 130, 188
162, 140, 165
36, 118, 180
166, 214, 183
179, 143, 173
178, 131, 183
40, 99, 195
72, 125, 171
176, 214, 161
183, 142, 170
46, 106, 170
176, 126, 177
198, 142, 173
181, 108, 161
175, 217, 177
195, 73, 188
182, 228, 161
166, 74, 193
189, 132, 180
186, 107, 173
171, 122, 170
174, 215, 189
14, 118, 137
188, 130, 173
220, 144, 236
195, 0, 145
171, 136, 173
175, 132, 189
194, 142, 186
191, 118, 177
175, 131, 161
162, 133, 173
188, 130, 170
218, 144, 173
38, 97, 189
161, 138, 1
151, 131, 189
176, 215, 183
117, 131, 189
179, 107, 170
186, 98, 173
162, 133, 145
13, 214, 177
182, 131, 189
186, 122, 176
159, 99, 189
16, 133, 175
220, 144, 173
195, 106, 145
21, 157, 173
220, 142, 129
162, 130, 145
70, 133, 171
190, 131, 187
195, 119, 173
195, 139, 173
173, 130, 194
174, 215, 172
197, 129, 179
188, 142, 173
176, 206, 189
159, 74, 160
175, 215, 180
186, 114, 188
189, 132, 172
165, 143, 173
189, 118, 183
162, 111, 236
188, 130, 170
176, 218, 187
174, 97, 161
169, 142, 173
188, 130, 170
176, 233, 172
183, 159, 194
194, 138, 173
181, 118, 166
182, 215, 172
182, 205, 189
200, 143, 129
178, 215, 172
179, 106, 186
21, 139, 169
214, 131, 189
176, 121, 177
60, 74, 172
191, 118, 179
64, 133, 165
171, 130, 173
64, 114, 170
15, 0, 150
198, 122, 182
169, 98, 181
181, 206, 189
16, 73, 139
220, 148, 181
189, 71, 189
174, 214, 177
178, 121, 189
186, 0, 173
44, 106, 178
192, 132, 172
42, 80, 164
53, 138, 181
191, 71, 185
185, 129, 168
43, 110, 172
14, 205, 166
49, 73, 140
41, 113, 237
42, 71, 172
49, 106, 165
14, 113, 168
42, 129, 172
191, 118, 147
190, 78, 168
66, 157, 186
185, 80, 160
48, 71, 172
44, 130, 173
