Band0, Band1, Band2
10, 112, 1
196, 74, 59
186, 90, 61
167, 28, 65
6, 201, 150
118, 186, 51
181, 191, 85
163, 57, 126
18, 169, 151
65, 182, 172
15, 79, 231
58, 85, 150
182, 160, 58
14, 208, 59
42, 173, 219
103, 207, 231
61, 174, 168
7, 130, 211
5, 21, 208
95, 61, 54
96, 33, 81
48, 103, 147
199, 99, 63
195, 94, 65
191, 160, 232
96, 95, 82
7, 178, 173
10, 81, 211
49, 8, 211
212, 108, 68
112, 180, 53
10, 84, 159
97, 115, 36
97, 84, 2
2, 21, 209
53, 133, 61
7, 159, 152
48, 72, 208
4, 174, 172
118, 194, 54
22, 197, 168
112, 177, 219
110, 181, 167
44, 79, 211
42, 80, 53
105, 163, 217
48, 72, 209
44, 107, 152
186, 112, 61
126, 36, 39
188, 0, 38
175, 99, 125
183, 139, 190
198, 98, 167
186, 159, 65
88, 43, 82
93, 41, 223
60, 80, 147
109, 83, 2
41, 180, 147
96, 86, 79
6, 92, 127
188, 98, 205
183, 8, 50
41, 89, 60
102, 92, 108
97, 86, 150
183, 151, 65
192, 97, 66
63, 80, 64
93, 2, 151
167, 55, 99
165, 162, 65
163, 165, 81
39, 1, 81
95, 1, 231
111, 84, 54
104, 23, 56
96, 120, 55
66, 79, 169
101, 25, 204
97, 85, 1
109, 81, 36
10, 81, 1
192, 128, 225
49, 51, 169
42, 118, 217
110, 81, 149
185, 129, 208
189, 110, 110
11, 23, 40
104, 5, 221
107, 81, 79
22, 89, 86
14, 167, 75
16, 186, 79
112, 177, 168
64, 81, 211
68, 72, 168
49, 157, 151
48, 80, 209
48, 72, 155
42, 128, 85
15, 166, 207
163, 130, 50
189, 21, 64
181, 131, 53
178, 74, 59
188, 106, 32
42, 118, 58
185, 22, 62
195, 211, 233
163, 112, 38
53, 133, 233
164, 180, 56
66, 95, 211
165, 0, 65
104, 23, 67
40, 26, 64
7, 90, 220
163, 95, 52
161, 112, 82
39, 20, 61
7, 16, 210
44, 95, 127
182, 128, 37
162, 211, 61
7, 2, 127
114, 164, 210
81, 176, 54
93, 192, 211
7, 165, 167
49, 130, 65
89, 89, 107
110, 184, 150
7, 175, 212
109, 12, 151
10, 83, 12
109, 84, 87
97, 166, 151
92, 192, 211
108, 197, 219
85, 51, 99
7, 41, 127
7, 9, 212
62, 9, 54
180, 186, 79
15, 55, 73
58, 201, 171
104, 31, 219
17, 193, 220
85, 169, 151
20, 52, 107
118, 176, 152
39, 169, 79
39, 90, 82
105, 23, 69
2, 174, 40
7, 8, 211
44, 43, 150
7, 79, 211
22, 80, 147
189, 124, 68
185, 18, 37
163, 94, 233
185, 214, 59
195, 88, 54
15, 73, 50
13, 132, 56
183, 8, 61
45, 214, 230
163, 88, 205
48, 128, 60
5, 5, 219
7, 9, 169
7, 9, 212
64, 83, 1
7, 207, 1
7, 79, 169
7, 81, 1
10, 112, 1
199, 97, 68
66, 122, 25
183, 112, 50
163, 9, 61
7, 19, 227
93, 84, 79
97, 84, 151
61, 78, 172
58, 81, 211
60, 78, 164
7, 8, 1
105, 177, 221
104, 170, 219
104, 31, 53
105, 197, 221
93, 195, 1
94, 173, 221
42, 54, 147
7, 120, 211
112, 180, 219
111, 85, 127
43, 174, 85
39, 169, 127
105, 177, 160
4, 174, 219
108, 197, 168
96, 192, 151
96, 93, 227
106, 205, 83
112, 26, 222
108, 29, 221
109, 28, 151
4, 29, 162
108, 21, 74
109, 82, 211
109, 20, 151
64, 130, 48
196, 108, 59
49, 88, 49
15, 138, 205
196, 97, 59
68, 89, 219
7, 114, 211
107, 83, 211
107, 195, 150
110, 195, 212
6, 1, 151
6, 192, 169
104, 31, 219
93, 44, 81
93, 57, 151
7, 14, 167
6, 165, 150
109, 196, 171
16, 176, 151
95, 42, 99
60, 87, 209
7, 8, 169
49, 142, 38
16, 79, 50
10, 3, 169
7, 112, 151
64, 138, 205
64, 157, 54
5, 167, 221
19, 43, 81
19, 88, 81
95, 42, 213
96, 2, 211
66, 136, 9
183, 106, 50
6, 20, 48
94, 177, 219
18, 84, 231
93, 83, 34
18, 82, 48
105, 21, 58
7, 12, 167
68, 174, 172
7, 112, 211
198, 140, 34
103, 3, 167
85, 37, 71
108, 59, 221
7, 16, 169
44, 82, 151
66, 73, 1
182, 191, 219
164, 35, 89
162, 111, 52
18, 114, 55
23, 131, 206
42, 96, 219
195, 106, 65
21, 130, 34
188, 46, 49
195, 130, 61
48, 72, 45
111, 84, 233
96, 86, 54
7, 9, 150
39, 93, 52
18, 82, 81
111, 84, 205
60, 23, 0
53, 133, 61
44, 130, 231
161, 112, 50
62, 81, 51
10, 93, 150
7, 195, 169
64, 81, 211
112, 191, 219
101, 175, 1
109, 27, 151
57, 213, 38
183, 232, 38
49, 231, 38
195, 232, 34
10, 120, 25
5, 180, 168
10, 175, 212
58, 195, 211
6, 181, 163
93, 176, 151
93, 193, 211
81, 42, 99
109, 42, 151
60, 11, 160
64, 79, 151
54, 134, 50
6, 107, 79
183, 130, 61
1, 20, 51
101, 85, 73
109, 85, 47
60, 163, 168
6, 9, 211
51, 95, 65
101, 27, 151
120, 95, 71
93, 27, 54
93, 92, 81
6, 92, 51
61, 97, 168
15, 165, 151
51, 122, 207
186, 138, 38
195, 232, 34
44, 125, 50
103, 84, 1
7, 83, 211
192, 217, 147
21, 162, 50
102, 85, 54
111, 92, 108
66, 8, 188
15, 165, 151
77, 92, 65
95, 84, 71
61, 72, 168
49, 46, 167
165, 90, 82
165, 43, 71
58, 181, 223
163, 42, 81
183, 186, 54
64, 28, 79
106, 31, 162
110, 193, 220
110, 193, 167
41, 167, 107
118, 166, 52
109, 19, 79
7, 83, 150
192, 160, 40
48, 72, 219
54, 67, 34
165, 231, 38
15, 211, 38
15, 98, 205
66, 8, 211
53, 9, 48
111, 82, 87
59, 180, 162
179, 216, 61
85, 130, 47
196, 78, 60
53, 106, 52
188, 122, 38
162, 37, 87
182, 117, 160
63, 109, 59
186, 46, 65
161, 106, 32
181, 118, 64
14, 97, 60
52, 113, 64
192, 241, 43
183, 125, 38
189, 233, 37
183, 232, 36
58, 114, 38
12, 3, 169
5, 11, 172
10, 112, 211
109, 83, 211
60, 129, 219
59, 113, 64
97, 114, 151
7, 51, 169
59, 72, 219
23, 163, 53
163, 106, 38
12, 83, 1
97, 81, 211
7, 3, 173
8, 180, 164
7, 82, 169
7, 13, 169
7, 82, 167
7, 1, 2
6, 1, 2
6, 1, 1
9, 163, 168
58, 114, 87
7, 83, 211
7, 83, 1
49, 106, 54
110, 184, 73
110, 55, 127
188, 42, 81
108, 29, 111
6, 83, 150
7, 139, 34
183, 122, 38
188, 98, 50
198, 112, 38
93, 112, 65
10, 82, 151
112, 11, 219
49, 73, 25
53, 40, 233
15, 114, 38
162, 130, 50
10, 4, 169
64, 79, 151
7, 159, 220
48, 205, 86
44, 101, 151
58, 133, 34
11, 80, 160
5, 26, 172
7, 1, 171
10, 92, 169
9, 174, 172
9, 21, 172
60, 180, 168
7, 79, 167
9, 11, 53
59, 72, 208
9, 69, 33
41, 87, 59
111, 92, 65
106, 96, 89
22, 34, 110
17, 57, 81
43, 197, 219
7, 79, 169
60, 34, 147
183, 67, 81
63, 229, 39
189, 126, 62
55, 212, 37
58, 60, 36
103, 16, 211
8, 121, 58
49, 143, 25
195, 111, 51
189, 80, 45
181, 18, 62
60, 96, 147
162, 106, 233
53, 114, 32
162, 94, 51
195, 106, 38
118, 112, 50
188, 0, 88
181, 214, 58
17, 0, 38
186, 90, 233
189, 217, 69
197, 72, 58
163, 8, 50
72, 107, 38
163, 114, 88
52, 214, 234
185, 78, 58
53, 94, 71
162, 73, 204
40, 21, 80
7, 41, 150
101, 42, 151
4, 180, 172
42, 132, 86
43, 124, 37
7, 115, 12
10, 85, 1
10, 114, 12
54, 114, 61
49, 142, 55
179, 119, 50
120, 79, 81
7, 84, 231
39, 207, 38
112, 114, 204
189, 118, 54
4, 80, 219
58, 33, 169
191, 80, 211
64, 159, 211
48, 12, 211
161, 206, 63
14, 94, 38
197, 72, 64
189, 130, 211
179, 97, 60
163, 71, 66
187, 108, 58
40, 71, 56
52, 214, 235
185, 88, 58
38, 108, 64
21, 130, 38
190, 80, 64
10, 4, 168
104, 192, 211
22, 169, 87
118, 191, 219
163, 176, 219
18, 14, 48
93, 197, 167
43, 166, 211
43, 114, 211
15, 89, 211
42, 132, 232
15, 79, 147
186, 214, 63
162, 106, 230
174, 106, 38
188, 72, 107
188, 122, 60
195, 88, 58
21, 116, 38
175, 97, 47
15, 95, 55
191, 20, 61
174, 97, 45
195, 72, 64
183, 108, 64
195, 128, 37
21, 113, 66
197, 98, 58
14, 128, 32
52, 108, 64
188, 88, 51
164, 107, 64
21, 73, 34
53, 88, 234
162, 74, 205
48, 72, 35
186, 122, 60
188, 38, 51
163, 205, 50
186, 205, 57
13, 73, 49
189, 0, 50
181, 99, 64
56, 159, 59
181, 112, 233
126, 154, 47
191, 71, 61
175, 97, 230
118, 55, 111
192, 52, 205
64, 11, 204
14, 186, 107
182, 52, 52
18, 193, 211
14, 186, 221
18, 193, 220
112, 174, 150
60, 130, 219
7, 9, 219
6, 79, 219
59, 78, 150
44, 163, 219
15, 45, 232
107, 72, 0
14, 73, 61
44, 33, 87
185, 8, 25
182, 205, 66
161, 128, 58
53, 73, 38
188, 118, 32
186, 38, 59
164, 118, 56
188, 205, 62
13, 72, 50
189, 72, 64
190, 97, 64
53, 159, 56
162, 71, 64
161, 96, 50
188, 71, 204
162, 99, 50
14, 112, 58
64, 207, 85
4, 25, 55
105, 15, 56
18, 27, 58
77, 113, 57
10, 11, 168
100, 174, 168
112, 71, 36
59, 174, 219
68, 130, 172
100, 84, 171
9, 22, 43
9, 161, 152
60, 173, 168
109, 162, 53
111, 34, 54
8, 93, 172
192, 214, 66
183, 138, 47
66, 130, 147
66, 174, 172
163, 135, 63
165, 52, 109
65, 191, 211
96, 178, 167
14, 186, 85
39, 162, 64
6, 27, 150
44, 114, 167
192, 107, 62
18, 60, 7
10, 178, 1
58, 83, 2
8, 180, 167
8, 81, 169
61, 131, 211
180, 60, 63
42, 142, 59
163, 156, 110
68, 201, 169
106, 176, 167
4, 178, 211
93, 177, 171
104, 176, 53
22, 191, 232
22, 191, 125
22, 183, 85
22, 183, 111
160, 42, 99
22, 42, 112
19, 52, 99
18, 197, 107
9, 3, 169
109, 181, 164
4, 178, 211
159, 199, 219
104, 42, 235
38, 96, 83
65, 89, 172
