Band0, Band1, Band2
63, 227, 42
10, 232, 31
28, 248, 253
220, 238, 23
25, 238, 182
20, 87, 40
61, 208, 208
6, 232, 18
249, 225, 173
183, 33, 227
141, 215, 215
66, 138, 35
104, 31, 8
117, 52, 148
42, 183, 209
188, 38, 55
16, 137, 205
17, 67, 204
42, 244, 57
110, 138, 38
14, 135, 39
60, 34, 107
68, 124, 160
249, 219, 35
13, 109, 8
15, 93, 79
94, 203, 244
18, 194, 156
49, 114, 55
86, 163, 45
68, 182, 172
7, 161, 169
116, 87, 107
86, 174, 107
95, 81, 211
108, 26, 85
42, 36, 57
100, 22, 147
10, 107, 211
58, 138, 16
44, 114, 191
44, 20, 227
198, 101, 227
103, 7, 170
19, 178, 2
159, 198, 42
186, 73, 233
16, 45, 108
166, 182, 43
160, 183, 56
16, 12, 12
49, 12, 231
106, 154, 57
94, 135, 208
4, 18, 59
97, 107, 1
199, 227, 19
180, 125, 47
196, 116, 8
44, 143, 151
88, 194, 4
80, 163, 46
117, 39, 5
110, 111, 36
66, 140, 44
55, 141, 199
24, 101, 81
66, 114, 190
38, 124, 195
175, 132, 177
151, 129, 189
188, 130, 173
161, 138, 165
178, 131, 161
190, 128, 183
198, 133, 173
172, 215, 137
175, 218, 189
187, 118, 177
165, 130, 173
213, 126, 161
186, 0, 145
166, 126, 161
198, 73, 165
188, 133, 188
178, 131, 161
189, 121, 161
215, 122, 188
165, 133, 173
72, 130, 188
39, 0, 173
205, 147, 173
188, 0, 145
176, 126, 161
54, 142, 173
165, 138, 188
198, 133, 169
181, 75, 189
53, 138, 173
162, 119, 145
178, 145, 193
52, 118, 189
175, 214, 189
215, 144, 165
182, 74, 189
195, 107, 173
178, 131, 161
186, 133, 173
188, 107, 170
197, 131, 160
175, 129, 189
183, 143, 173
212, 128, 161
186, 133, 186
22, 214, 177
213, 234, 43
54, 252, 242
67, 127, 22
43, 180, 172
57, 94, 145
164, 141, 172
179, 114, 194
33, 138, 169
171, 130, 181
183, 125, 173
141, 128, 161
38, 132, 180
198, 130, 145
42, 109, 172
188, 119, 169
53, 142, 173
176, 129, 161
195, 148, 188
176, 124, 183
151, 128, 180
21, 130, 181
169, 139, 173
48, 250, 22
197, 251, 19
189, 228, 19
98, 207, 44
80, 22, 45
196, 249, 184
54, 137, 243
40, 155, 29
95, 125, 4
134, 85, 30
20, 109, 37
16, 134, 4
108, 26, 124
61, 214, 8
220, 231, 240
6, 178, 227
196, 141, 8
106, 171, 26
87, 18, 125
113, 138, 123
104, 132, 147
80, 18, 0
113, 188, 44
86, 203, 158
106, 177, 168
106, 31, 164
85, 201, 167
19, 194, 152
22, 198, 141
160, 197, 141
39, 194, 191
15, 194, 178
110, 12, 205
7, 14, 165
49, 83, 159
168, 213, 132
184, 34, 64
188, 164, 243
7, 202, 246
163, 189, 139
14, 187, 158
22, 59, 158
83, 55, 138
132, 29, 97
2, 78, 148
89, 96, 162
96, 162, 87
106, 89, 45
39, 90, 4
39, 94, 123
75, 155, 27
110, 104, 10
105, 205, 228
108, 26, 157
62, 107, 15
183, 136, 132
67, 11, 168
43, 163, 168
199, 121, 172
195, 107, 190
0, 127, 22
221, 250, 249
39, 90, 15
3, 23, 147
95, 111, 156
96, 211, 50
7, 120, 175
7, 64, 171
60, 68, 33
192, 244, 5
15, 125, 31
189, 121, 0
110, 12, 169
21, 90, 173
223, 218, 189
171, 143, 169
181, 128, 180
178, 233, 184
186, 0, 169
213, 121, 137
175, 131, 189
38, 72, 180
179, 144, 11
179, 130, 188
13, 129, 172
178, 126, 189
188, 130, 176
17, 114, 173
221, 215, 160
72, 114, 173
195, 136, 188
178, 129, 161
182, 214, 183
176, 215, 189
162, 73, 170
52, 124, 189
186, 73, 171
191, 132, 189
222, 144, 181
53, 114, 170
172, 214, 189
182, 126, 161
179, 130, 170
173, 130, 181
183, 130, 173
197, 124, 177
21, 130, 186
196, 131, 172
175, 118, 161
14, 129, 187
225, 139, 188
179, 130, 181
161, 216, 190
174, 121, 155
186, 125, 169
212, 131, 195
178, 129, 172
182, 121, 161
205, 143, 173
182, 129, 189
198, 142, 165
189, 132, 189
179, 122, 181
169, 130, 173
191, 132, 189
14, 129, 172
220, 144, 173
195, 0, 145
19, 142, 173
15, 0, 170
26, 123, 173
198, 142, 194
166, 132, 172
171, 143, 194
53, 130, 170
196, 121, 172
181, 116, 161
213, 126, 189
14, 71, 161
220, 142, 173
181, 117, 161
197, 109, 161
188, 142, 182
162, 133, 145
197, 128, 161
