Band0, Band1, Band2
109, 169, 79
196, 128, 161
109, 202, 79
58, 184, 167
60, 11, 218
48, 182, 155
42, 180, 199
64, 162, 167
4, 197, 168
41, 191, 221
109, 175, 167
64, 51, 212
42, 191, 219
38, 182, 219
191, 163, 199
15, 162, 159
15, 79, 231
162, 41, 159
183, 146, 190
198, 0, 173
188, 142, 170
175, 121, 172
188, 114, 145
188, 147, 173
197, 132, 161
161, 0, 173
21, 143, 165
26, 123, 173
179, 133, 194
13, 132, 161
176, 131, 189
49, 114, 48
110, 106, 181
14, 214, 162
48, 124, 161
14, 118, 147
215, 216, 190
181, 121, 161
176, 126, 189
53, 0, 145
168, 125, 181
186, 10, 173
182, 121, 189
186, 143, 173
179, 0, 173
181, 126, 161
196, 132, 183
21, 133, 173
186, 0, 167
205, 144, 188
179, 106, 169
171, 143, 190
161, 73, 170
36, 121, 172
165, 142, 182
195, 130, 145
186, 119, 170
174, 218, 161
191, 72, 189
216, 123, 129
183, 122, 190
174, 228, 177
182, 129, 189
205, 139, 169
213, 131, 161
182, 132, 161
178, 126, 183
181, 116, 141
188, 130, 173
59, 71, 162
181, 80, 160
26, 144, 188
66, 79, 139
58, 8, 171
181, 128, 168
42, 71, 174
39, 122, 25
190, 132, 168
41, 72, 153
18, 120, 170
44, 0, 167
70, 216, 138
181, 72, 8
41, 72, 172
15, 120, 13
48, 71, 180
41, 160, 166
21, 119, 211
41, 108, 180
48, 71, 160
48, 116, 155
40, 206, 168
188, 216, 173
48, 128, 202
185, 121, 180
62, 88, 1
38, 132, 174
185, 121, 183
178, 129, 189
15, 130, 181
178, 121, 161
166, 131, 189
196, 228, 172
195, 106, 186
181, 121, 172
198, 142, 181
149, 131, 161
188, 142, 173
180, 143, 188
13, 118, 189
182, 131, 168
171, 144, 188
195, 130, 181
13, 121, 189
54, 130, 243
180, 133, 169
174, 121, 183
14, 214, 161
178, 129, 187
173, 143, 169
178, 131, 189
166, 132, 189
37, 142, 181
163, 142, 140
13, 129, 189
190, 132, 177
176, 126, 189
188, 94, 173
195, 143, 165
162, 142, 188
195, 122, 173
220, 142, 181
179, 107, 170
176, 131, 189
195, 144, 186
195, 139, 188
53, 142, 173
195, 130, 165
215, 122, 173
15, 130, 186
195, 139, 181
36, 116, 166
163, 139, 173
195, 0, 186
215, 144, 181
182, 215, 189
189, 108, 183
13, 74, 189
195, 67, 129
178, 116, 177
171, 139, 188
195, 130, 186
165, 142, 173
171, 122, 186
136, 144, 173
163, 130, 173
186, 142, 188
182, 126, 161
183, 120, 186
173, 136, 181
188, 130, 145
66, 114, 211
162, 133, 169
110, 9, 236
62, 114, 139
14, 121, 172
62, 9, 171
183, 119, 181
62, 130, 178
17, 106, 169
54, 138, 243
53, 114, 163
15, 119, 169
243, 215, 161
179, 130, 181
51, 142, 190
171, 130, 173
178, 127, 161
185, 72, 161
55, 117, 160
171, 125, 173
182, 97, 189
173, 133, 165
188, 130, 188
220, 142, 173
195, 119, 188
194, 98, 169
15, 119, 186
222, 143, 181
191, 128, 137
179, 142, 236
198, 122, 190
171, 130, 173
195, 139, 188
195, 73, 165
53, 142, 173
195, 119, 190
151, 131, 160
195, 122, 173
169, 138, 170
179, 142, 181
58, 81, 149
220, 216, 190
162, 142, 165
66, 114, 163
166, 108, 172
66, 142, 173
53, 112, 204
220, 144, 145
182, 121, 161
187, 214, 189
174, 214, 177
171, 73, 190
55, 121, 160
168, 130, 170
179, 139, 188
44, 114, 178
64, 114, 163
19, 106, 169
53, 8, 171
110, 211, 133
185, 80, 162
188, 143, 236
39, 165, 169
62, 122, 25
15, 114, 169
110, 112, 134
188, 0, 151
76, 12, 134
68, 71, 172
195, 8, 138
188, 114, 171
64, 79, 211
106, 118, 166
64, 73, 165
52, 128, 174
49, 107, 173
53, 122, 25
188, 130, 171
15, 106, 170
162, 142, 173
186, 143, 165
198, 130, 190
188, 144, 173
117, 132, 161
191, 126, 189
197, 129, 172
109, 79, 231
184, 71, 166
64, 8, 169
104, 11, 155
58, 33, 181
44, 114, 149
41, 118, 155
14, 11, 206
16, 0, 171
48, 74, 172
40, 72, 180
45, 121, 164
48, 129, 53
218, 133, 188
38, 131, 189
197, 129, 180
186, 119, 190
179, 144, 169
44, 161, 188
58, 112, 151
220, 144, 173
176, 131, 161
196, 128, 161
174, 132, 160
16, 106, 186
195, 143, 165
220, 133, 173
181, 126, 137
175, 128, 189
188, 142, 188
151, 126, 161
190, 116, 187
163, 138, 173
187, 129, 189
179, 142, 169
175, 129, 177
173, 143, 188
53, 107, 186
174, 121, 189
175, 124, 187
49, 161, 1
188, 130, 156
173, 144, 188
179, 0, 188
66, 8, 211
165, 232, 190
52, 118, 187
165, 125, 173
186, 114, 140
15, 143, 173
220, 122, 181
161, 130, 188
194, 133, 173
218, 144, 173
197, 132, 161
53, 130, 186
58, 112, 227
49, 130, 163
76, 114, 11
44, 0, 163
