Band0, Band1, Band2
196, 215, 184
186, 133, 140
165, 130, 173
191, 107, 170
13, 139, 188
215, 131, 181
195, 128, 189
159, 138, 236
176, 143, 145
178, 129, 183
38, 98, 172
151, 139, 188
186, 128, 173
181, 119, 170
188, 214, 176
176, 124, 173
190, 131, 179
169, 108, 193
188, 133, 189
21, 108, 180
215, 144, 181
192, 128, 161
171, 138, 180
173, 121, 189
72, 0, 170
190, 140, 236
171, 128, 189
14, 206, 185
218, 147, 172
55, 106, 181
167, 138, 173
191, 106, 180
202, 216, 161
191, 98, 173
12, 5, 167
9, 3, 169
97, 84, 201
93, 84, 79
104, 82, 111
39, 28, 107
22, 28, 111
39, 162, 111
19, 28, 111
39, 167, 111
112, 30, 152
66, 48, 167
163, 29, 152
22, 46, 171
161, 100, 167
48, 43, 236
162, 100, 85
40, 43, 161
100, 2, 99
163, 42, 95
160, 41, 86
104, 112, 49
109, 25, 147
102, 81, 150
96, 3, 167
40, 111, 122
104, 30, 127
19, 41, 81
105, 27, 127
7, 195, 169
9, 3, 168
109, 52, 167
96, 25, 218
95, 181, 222
109, 84, 151
97, 3, 201
5, 3, 168
68, 81, 161
110, 181, 151
104, 89, 85
65, 113, 169
5, 4, 169
96, 3, 0
96, 1, 218
8, 86, 168
68, 71, 189
21, 196, 79
43, 106, 87
3, 3, 168
105, 196, 152
104, 26, 75
7, 2, 208
4, 3, 172
104, 41, 99
120, 41, 108
160, 168, 111
160, 188, 221
93, 188, 151
104, 42, 99
95, 85, 73
97, 85, 150
4, 87, 168
60, 88, 191
96, 2, 221
104, 26, 111
7, 3, 160
6, 195, 167
22, 42, 112
21, 44, 111
21, 42, 81
21, 44, 81
22, 161, 75
104, 41, 94
105, 192, 222
4, 196, 168
6, 178, 170
97, 45, 152
10, 87, 169
43, 163, 211
191, 206, 171
22, 134, 34
3, 2, 168
5, 5, 168
7, 11, 166
97, 3, 169
39, 32, 99
95, 57, 151
68, 1, 161
38, 180, 53
43, 78, 236
21, 118, 71
96, 1, 171
9, 84, 219
104, 21, 107
95, 84, 219
105, 84, 53
95, 84, 219
105, 82, 85
96, 84, 213
9, 3, 168
2, 180, 170
61, 81, 169
44, 71, 172
110, 128, 25
13, 79, 161
13, 0, 171
185, 92, 178
70, 128, 211
18, 0, 167
95, 31, 225
13, 110, 121
165, 43, 151
81, 161, 227
13, 108, 111
181, 72, 104
69, 92, 168
9, 72, 167
57, 142, 188
192, 133, 183
165, 130, 161
161, 133, 189
197, 133, 173
195, 133, 173
193, 130, 186
179, 143, 181
13, 128, 169
175, 131, 244
182, 132, 168
212, 142, 181
38, 108, 161
26, 142, 237
174, 129, 161
21, 97, 186
159, 121, 172
180, 145, 173
190, 72, 145
117, 18, 171
14, 132, 145
176, 147, 2
198, 132, 194
117, 132, 173
171, 218, 188
186, 106, 145
161, 139, 175
195, 128, 189
149, 140, 177
12, 195, 167
68, 113, 161
8, 11, 170
8, 80, 170
104, 202, 99
133, 35, 99
19, 2, 95
22, 29, 127
104, 181, 127
104, 28, 99
104, 27, 111
105, 181, 127
84, 26, 111
95, 92, 123
95, 85, 221
66, 90, 183
55, 139, 186
164, 129, 161
161, 130, 189
178, 140, 11
197, 118, 170
169, 98, 186
176, 126, 173
178, 142, 188
40, 73, 188
72, 124, 236
165, 132, 161
183, 139, 170
184, 128, 170
173, 139, 183
197, 142, 173
161, 132, 161
176, 215, 183
190, 73, 188
182, 140, 170
168, 131, 189
189, 108, 180
186, 107, 189
161, 129, 170
175, 140, 173
191, 128, 145
53, 109, 172
220, 131, 182
181, 118, 161
171, 141, 182
215, 119, 189
193, 216, 186
191, 132, 177
102, 82, 162
221, 233, 161
188, 130, 180
177, 143, 186
40, 130, 161
162, 138, 181
151, 117, 186
168, 215, 173
161, 218, 173
191, 112, 185
89, 52, 84
42, 183, 222
107, 182, 222
113, 97, 232
5, 86, 221
96, 82, 151
95, 29, 221
104, 170, 152
93, 168, 221
74, 19, 109
90, 1, 150
2, 119, 148
7, 81, 1
43, 80, 79
105, 113, 87
43, 20, 219
110, 89, 25
44, 214, 0
43, 128, 210
159, 154, 217
74, 108, 51
89, 3, 168
128, 40, 219
89, 3, 166
97, 29, 151
105, 89, 212
66, 114, 186
57, 138, 181
116, 26, 44
140, 78, 96
101, 92, 219
43, 91, 167
112, 86, 151
181, 153, 199
121, 99, 53
121, 174, 222
130, 80, 127
89, 29, 150
104, 80, 222
66, 20, 163
22, 96, 221
20, 153, 211
133, 178, 221
116, 86, 168
121, 87, 53
115, 165, 221
95, 27, 221
105, 26, 152
105, 86, 164
40, 33, 151
20, 72, 150
40, 0, 172
116, 4, 152
20, 1, 167
121, 82, 169
116, 181, 211
114, 41, 152
92, 85, 221
111, 29, 73
10, 86, 173
15, 174, 227
66, 143, 189
49, 118, 161
196, 144, 172
195, 133, 189
181, 138, 189
189, 128, 173
212, 130, 161
105, 133, 145
191, 112, 168
42, 106, 189
219, 123, 160
55, 128, 161
168, 228, 188
220, 122, 186
159, 215, 161
195, 129, 185
182, 107, 173
175, 131, 194
182, 133, 173
195, 131, 165
179, 97, 145
195, 133, 173
166, 143, 169
197, 71, 177
178, 139, 189
195, 131, 173
161, 143, 189
174, 131, 161
188, 107, 172
179, 142, 161
186, 131, 189
162, 124, 161
178, 130, 161
162, 121, 173
161, 131, 173
179, 132, 161
195, 74, 173
190, 132, 195
164, 133, 169
196, 129, 173
2, 45, 223
98, 29, 167
101, 3, 180
67, 218, 186
57, 133, 161
196, 129, 161
89, 80, 171
7, 162, 149
67, 143, 189
49, 114, 172
55, 131, 188
89, 30, 49
97, 29, 150
112, 81, 173
66, 128, 161
66, 128, 167
55, 124, 189
165, 143, 161
212, 132, 189
165, 142, 189
69, 2, 150
94, 86, 149
108, 2, 152
8, 113, 173
43, 112, 171
18, 118, 181
181, 128, 164
159, 104, 167
160, 33, 65
65, 95, 220
127, 98, 80
26, 100, 64
21, 154, 81
213, 96, 109
188, 100, 109
108, 33, 73
110, 92, 107
106, 95, 126
112, 161, 221
192, 108, 148
181, 94, 109
186, 33, 81
146, 94, 79
161, 154, 109
204, 99, 49
185, 90, 67
64, 180, 111
109, 85, 219
66, 128, 190
43, 88, 171
188, 142, 155
186, 97, 176
101, 25, 81
93, 178, 220
85, 82, 221
85, 1, 222
85, 2, 222
85, 30, 222
93, 27, 127
9, 31, 169
9, 16, 161
10, 82, 170
6, 183, 167
95, 194, 167
118, 44, 99
20, 26, 111
96, 22, 64
68, 25, 160
8, 161, 170
58, 44, 100
68, 83, 195
10, 78, 168
107, 26, 221
92, 84, 127
92, 84, 2
106, 184, 152
7, 93, 48
59, 0, 139
38, 38, 221
104, 35, 83
68, 184, 186
97, 185, 169
97, 19, 85
97, 61, 209
5, 23, 171
5, 23, 25
8, 23, 160
9, 165, 168
7, 180, 172
53, 90, 86
11, 23, 212
57, 75, 190
116, 2, 148
8, 83, 170
118, 29, 112
40, 28, 81
111, 3, 151
96, 3, 221
96, 16, 139
4, 87, 211
10, 83, 169
9, 23, 212
10, 81, 173
94, 83, 87
5, 25, 212
111, 16, 219
96, 86, 222
6, 2, 211
20, 34, 111
22, 42, 221
