Band0, Band1, Band2
183, 109, 178
164, 103, 28
90, 34, 75
98, 91, 91
110, 34, 86
43, 172, 152
45, 155, 68
73, 172, 83
185, 184, 75
33, 159, 81
45, 104, 83
91, 134, 223
90, 155, 217
4, 93, 85
44, 42, 168
182, 101, 92
150, 221, 106
151, 217, 238
178, 102, 25
217, 153, 127
96, 107, 89
159, 206, 140
13, 21, 167
167, 112, 189
166, 92, 227
150, 79, 222
145, 180, 87
143, 165, 221
127, 112, 139
119, 26, 219
119, 80, 111
160, 92, 166
174, 79, 211
181, 20, 170
104, 111, 68
76, 85, 65
14, 90, 65
84, 157, 80
74, 35, 231
107, 21, 63
41, 12, 51
71, 105, 204
4, 106, 221
44, 119, 150
163, 118, 170
173, 222, 4
191, 35, 127
91, 185, 64
85, 187, 151
18, 188, 53
48, 191, 99
85, 47, 205
111, 208, 59
107, 60, 63
110, 38, 59
70, 228, 62
86, 94, 88
18, 43, 69
66, 46, 152
192, 45, 152
230, 121, 61
181, 142, 31
58, 120, 66
160, 96, 86
115, 49, 54
78, 169, 220
45, 184, 111
72, 53, 91
125, 102, 70
74, 101, 67
17, 46, 91
42, 104, 133
183, 220, 246
165, 152, 242
160, 168, 126
198, 234, 184
175, 129, 145
13, 142, 161
220, 130, 177
165, 121, 189
130, 187, 78
118, 78, 109
138, 52, 125
123, 34, 235
139, 172, 116
83, 176, 119
128, 175, 149
131, 176, 150
119, 184, 85
83, 176, 219
84, 173, 117
20, 191, 149
120, 14, 220
70, 191, 119
17, 51, 225
71, 38, 71
75, 98, 56
4, 93, 85
112, 181, 152
223, 49, 84
75, 159, 126
71, 47, 222
200, 161, 74
83, 55, 235
83, 52, 223
125, 51, 70
79, 162, 54
200, 52, 85
82, 186, 87
97, 172, 152
66, 120, 189
66, 20, 163
240, 160, 61
122, 100, 200
150, 94, 69
19, 205, 83
193, 125, 217
161, 109, 232
186, 206, 142
13, 110, 211
164, 20, 168
181, 72, 186
181, 118, 139
181, 92, 166
181, 110, 173
201, 128, 169
85, 185, 219
162, 128, 185
164, 114, 170
181, 88, 166
13, 40, 221
72, 102, 152
166, 33, 152
204, 38, 108
214, 38, 221
186, 165, 191
118, 181, 212
188, 141, 168
125, 49, 232
159, 78, 169
177, 71, 189
161, 118, 171
215, 147, 194
188, 118, 189
179, 210, 178
71, 134, 225
92, 20, 86
174, 211, 211
169, 139, 150
21, 112, 162
161, 80, 170
166, 20, 173
71, 192, 217
176, 99, 220
134, 102, 220
139, 72, 232
123, 152, 88
126, 76, 211
22, 113, 170
162, 205, 173
164, 151, 161
162, 112, 87
166, 0, 201
72, 47, 171
165, 118, 164
162, 132, 173
164, 71, 145
195, 139, 161
164, 33, 168
175, 117, 188
36, 139, 181
163, 129, 137
186, 129, 173
195, 129, 189
175, 133, 171
115, 49, 87
