Band0, Band1, Band2
61, 112, 169
55, 131, 161
62, 229, 63
185, 139, 201
179, 65, 35
171, 139, 55
185, 127, 42
64, 127, 12
62, 78, 145
185, 8, 181
64, 128, 173
9, 120, 34
109, 129, 132
39, 208, 202
181, 95, 66
182, 42, 25
182, 50, 58
183, 34, 64
14, 91, 65
95, 76, 88
60, 195, 150
112, 81, 211
59, 207, 58
9, 46, 150
97, 96, 57
85, 90, 123
93, 57, 143
107, 173, 121
109, 182, 162
106, 210, 123
6, 126, 31
64, 139, 200
165, 217, 200
189, 67, 45
174, 122, 175
197, 139, 8
43, 228, 44
188, 206, 12
97, 155, 233
104, 43, 56
95, 155, 204
66, 124, 236
61, 114, 169
183, 154, 219
110, 108, 66
111, 92, 124
107, 95, 149
57, 138, 14
111, 155, 231
96, 165, 108
59, 90, 227
49, 121, 161
39, 80, 80
163, 155, 36
69, 114, 168
109, 180, 150
6, 79, 152
85, 14, 69
162, 171, 157
163, 81, 156
189, 180, 141
161, 174, 138
118, 28, 243
19, 13, 89
20, 1, 48
127, 184, 87
183, 76, 64
40, 91, 231
105, 65, 229
9, 88, 48
70, 125, 230
110, 125, 138
20, 205, 214
189, 95, 123
182, 43, 56
195, 34, 109
18, 206, 234
97, 109, 122
114, 20, 218
105, 171, 88
77, 21, 122
59, 180, 163
66, 143, 190
55, 214, 181
164, 132, 173
201, 133, 145
173, 143, 177
101, 93, 82
127, 233, 132
175, 124, 135
47, 229, 22
88, 191, 221
101, 23, 106
66, 132, 189
104, 165, 92
118, 120, 116
2, 85, 113
66, 229, 211
196, 133, 31
108, 92, 232
67, 218, 190
49, 78, 186
191, 129, 181
14, 94, 170
190, 144, 172
165, 35, 32
203, 143, 190
179, 129, 172
212, 121, 177
171, 143, 189
186, 108, 161
165, 144, 177
195, 129, 165
181, 132, 189
179, 132, 189
174, 128, 140
197, 126, 184
166, 142, 161
14, 129, 189
197, 121, 172
197, 132, 169
193, 122, 190
176, 216, 173
181, 131, 161
175, 121, 173
163, 121, 194
36, 129, 173
15, 130, 190
220, 126, 160
13, 129, 173
181, 132, 189
159, 129, 172
220, 144, 172
192, 129, 196
171, 107, 172
111, 71, 189
219, 233, 160
198, 0, 145
0, 131, 188
164, 143, 189
195, 118, 137
162, 133, 236
189, 131, 189
216, 215, 161
38, 71, 169
197, 126, 189
179, 116, 172
186, 131, 165
186, 106, 189
190, 140, 161
172, 128, 172
196, 144, 189
175, 128, 189
173, 142, 161
191, 133, 186
169, 129, 189
176, 138, 160
165, 218, 189
174, 133, 170
191, 97, 183
188, 121, 173
178, 128, 189
163, 131, 169
179, 231, 181
178, 118, 188
174, 130, 188
179, 121, 173
178, 131, 189
14, 216, 188
174, 121, 173
179, 128, 161
181, 139, 169
186, 71, 190
175, 131, 172
198, 139, 187
182, 71, 190
171, 141, 161
195, 116, 181
183, 125, 161
177, 151, 161
53, 133, 186
186, 129, 189
182, 121, 188
213, 143, 161
43, 128, 186
53, 106, 172
220, 145, 189
181, 71, 161
215, 138, 184
171, 139, 161
171, 129, 170
42, 108, 195
