Band0, Band1, Band2
15, 93, 11
10, 174, 168
7, 178, 166
4, 174, 211
6, 8, 166
92, 92, 161
62, 128, 176
48, 206, 171
188, 118, 181
185, 71, 211
48, 133, 173
38, 106, 155
63, 118, 159
163, 74, 161
64, 92, 1
62, 218, 177
189, 118, 165
65, 97, 172
54, 121, 159
63, 97, 166
42, 129, 181
53, 118, 169
185, 112, 18
12, 81, 168
8, 11, 169
184, 184, 227
87, 199, 213
110, 186, 73
104, 180, 94
3, 92, 168
10, 33, 169
57, 129, 189
49, 139, 236
165, 128, 189
38, 212, 185
173, 129, 173
190, 108, 237
143, 139, 189
191, 110, 179
195, 130, 170
185, 157, 172
164, 119, 173
48, 109, 173
177, 117, 187
175, 133, 170
165, 139, 186
215, 133, 187
159, 98, 189
174, 133, 173
179, 139, 181
169, 73, 145
191, 119, 177
178, 143, 172
190, 73, 188
181, 107, 186
161, 121, 172
186, 143, 236
179, 97, 161
186, 132, 183
78, 133, 168
181, 129, 188
195, 126, 172
195, 128, 161
104, 32, 67
96, 181, 85
10, 27, 140
44, 118, 1
102, 5, 211
85, 67, 59
101, 87, 147
5, 26, 150
112, 172, 171
68, 87, 168
160, 57, 225
113, 184, 85
6, 183, 149
68, 81, 170
112, 113, 173
191, 95, 233
1, 71, 150
102, 90, 150
10, 87, 211
5, 3, 172
7, 107, 209
191, 78, 162
188, 110, 159
41, 80, 171
97, 7, 167
39, 199, 171
104, 194, 169
105, 176, 220
104, 188, 152
96, 167, 99
96, 180, 221
97, 86, 152
97, 84, 162
96, 87, 167
96, 84, 167
112, 2, 152
105, 181, 111
105, 27, 99
18, 181, 151
112, 185, 139
96, 195, 171
61, 83, 169
9, 79, 168
221, 148, 186
190, 107, 172
195, 118, 186
162, 124, 180
182, 113, 142
17, 141, 181
198, 142, 181
162, 128, 189
170, 133, 173
179, 143, 173
175, 132, 145
188, 132, 170
218, 143, 181
171, 131, 186
38, 108, 173
175, 139, 161
49, 163, 141
2, 118, 164
48, 113, 171
39, 30, 75
48, 126, 37
42, 18, 174
17, 207, 36
92, 20, 204
9, 23, 148
10, 3, 161
66, 216, 170
101, 25, 69
85, 84, 64
120, 174, 48
159, 82, 86
160, 21, 64
96, 23, 69
3, 60, 12
9, 23, 1
109, 63, 223
111, 181, 107
104, 93, 86
85, 186, 151
16, 188, 219
16, 162, 111
85, 184, 86
68, 83, 161
2, 1, 170
105, 195, 152
38, 106, 12
161, 205, 171
3, 4, 168
109, 176, 167
43, 111, 211
192, 131, 183
74, 1, 167
2, 93, 205
10, 14, 145
9, 83, 167
109, 82, 167
107, 24, 208
108, 15, 209
94, 23, 3
104, 209, 69
85, 1, 85
112, 113, 151
4, 181, 152
200, 27, 73
93, 3, 221
92, 86, 152
111, 181, 99
3, 174, 183
68, 120, 161
8, 80, 178
61, 116, 172
192, 114, 14
41, 96, 161
189, 128, 163
11, 1, 140
93, 27, 107
18, 3, 107
111, 1, 221
61, 13, 169
43, 111, 168
181, 96, 229
42, 122, 173
98, 36, 54
7, 178, 168
97, 198, 167
94, 88, 219
