Band0, Band1, Band2
12, 87, 150
61, 133, 23
191, 133, 190
40, 85, 172
188, 223, 183
9, 5, 169
3, 11, 180
54, 107, 160
62, 130, 176
190, 8, 161
12, 195, 168
18, 168, 99
104, 30, 95
105, 27, 222
109, 27, 167
7, 82, 211
96, 3, 221
6, 3, 169
4, 1, 211
109, 178, 211
107, 195, 152
22, 192, 111
104, 51, 222
96, 27, 222
66, 205, 130
38, 157, 134
42, 172, 219
110, 21, 171
95, 27, 84
104, 84, 85
18, 180, 81
93, 27, 222
109, 3, 210
96, 87, 221
96, 84, 211
8, 91, 211
59, 23, 11
66, 217, 145
55, 118, 189
101, 2, 112
9, 27, 167
4, 3, 211
4, 27, 171
96, 86, 151
10, 3, 161
43, 106, 221
66, 216, 190
55, 216, 41
45, 111, 53
11, 27, 152
97, 27, 150
4, 27, 151
4, 3, 172
4, 3, 160
68, 129, 141
183, 110, 70
95, 32, 222
95, 85, 73
96, 27, 73
112, 21, 85
109, 21, 219
4, 179, 169
4, 3, 167
109, 195, 160
5, 27, 169
4, 91, 99
192, 155, 12
38, 246, 250
107, 2, 87
93, 30, 111
39, 52, 221
18, 169, 222
105, 31, 152
14, 34, 81
7, 30, 150
10, 84, 189
9, 3, 167
39, 168, 96
22, 93, 86
5, 86, 212
42, 76, 111
95, 86, 225
4, 27, 211
105, 30, 150
96, 86, 221
10, 3, 168
96, 29, 152
105, 186, 73
104, 188, 221
60, 195, 168
112, 177, 167
61, 206, 170
6, 195, 167
7, 185, 167
107, 184, 221
7, 81, 168
44, 81, 167
191, 43, 211
169, 108, 111
107, 82, 121
182, 216, 184
171, 143, 145
188, 106, 181
189, 129, 180
172, 126, 161
165, 130, 161
181, 215, 170
198, 107, 244
181, 98, 181
198, 142, 183
198, 130, 183
105, 174, 212
93, 32, 112
105, 169, 152
10, 3, 161
49, 132, 177
66, 144, 161
95, 3, 86
112, 3, 167
105, 1, 1
163, 58, 221
20, 169, 111
22, 170, 99
22, 169, 221
22, 194, 152
22, 31, 221
104, 194, 151
111, 31, 152
109, 185, 152
87, 44, 95
104, 86, 111
95, 82, 220
6, 188, 168
96, 198, 167
93, 198, 168
93, 201, 167
108, 179, 167
8, 86, 170
9, 47, 167
19, 6, 167
19, 29, 100
93, 84, 111
108, 27, 167
92, 87, 232
91, 84, 150
75, 1, 151
89, 82, 170
43, 111, 36
191, 138, 178
43, 109, 12
98, 5, 222
92, 91, 83
9, 186, 142
43, 84, 150
176, 48, 82
14, 186, 221
3, 2, 189
105, 30, 100
105, 85, 79
105, 1, 79
104, 26, 125
105, 28, 222
4, 3, 172
7, 3, 169
112, 81, 168
192, 102, 91
66, 113, 145
88, 170, 99
4, 193, 169
95, 185, 211
40, 30, 99
7, 27, 150
111, 27, 222
108, 85, 221
111, 181, 211
4, 84, 221
4, 16, 160
96, 195, 168
4, 16, 212
96, 84, 53
109, 84, 211
4, 178, 201
4, 178, 168
97, 2, 167
97, 175, 164
96, 29, 221
94, 87, 219
10, 3, 168
190, 224, 212
40, 136, 193
18, 2, 211
113, 80, 169
96, 27, 112
93, 3, 221
109, 2, 152
68, 81, 189
38, 96, 147
184, 90, 125
108, 106, 232
51, 95, 49
77, 155, 28
58, 165, 111
9, 36, 151
112, 80, 172
87, 31, 73
107, 2, 152
54, 102, 71
112, 180, 219
15, 154, 66
3, 174, 163
6, 20, 220
44, 153, 205
58, 160, 125
4, 36, 219
38, 151, 66
7, 99, 53
38, 151, 64
47, 100, 85
15, 38, 109
57, 99, 87
10, 151, 219
98, 166, 221
86, 29, 212
90, 161, 99
10, 5, 169
4, 30, 168
59, 2, 167
55, 147, 2
38, 132, 153
162, 132, 2
190, 130, 171
166, 74, 172
190, 107, 179
182, 97, 5
186, 118, 171
186, 214, 166
175, 131, 189
100, 32, 73
75, 29, 150
8, 93, 221
4, 42, 163
43, 180, 167
59, 0, 171
115, 181, 167
46, 30, 220
10, 27, 152
4, 180, 151
96, 14, 170
194, 156, 109
171, 33, 64
61, 162, 172
66, 124, 145
192, 108, 183
165, 128, 189
13, 144, 188
198, 121, 172
165, 74, 189
203, 133, 169
61, 184, 149
102, 5, 168
61, 116, 181
57, 215, 189
38, 132, 178
169, 166, 108
124, 153, 79
126, 88, 222
70, 36, 49
174, 106, 232
21, 88, 228
176, 101, 213
41, 112, 125
159, 110, 215
190, 104, 48
135, 109, 230
175, 154, 109
166, 94, 125
16, 72, 216
215, 110, 229
159, 101, 107
178, 154, 49
21, 96, 64
59, 161, 221
180, 126, 197
189, 133, 173
222, 131, 181
189, 128, 161
175, 121, 173
191, 133, 189
195, 118, 176
220, 131, 172
186, 139, 190
162, 142, 188
173, 129, 161
186, 132, 189
21, 35, 110
174, 96, 111
107, 88, 169
221, 144, 190
162, 143, 189
93, 29, 80
94, 2, 99
116, 59, 152
87, 185, 167
87, 193, 167
88, 168, 151
97, 87, 167
97, 83, 209
96, 23, 56
93, 87, 29
96, 23, 221
3, 28, 170
43, 84, 168
104, 100, 85
212, 90, 227
107, 89, 180
85, 114, 211
5, 5, 211
96, 24, 38
95, 3, 150
4, 3, 152
68, 97, 189
66, 112, 169
66, 74, 173
100, 3, 167
104, 201, 167
93, 196, 152
85, 189, 167
185, 42, 95
19, 29, 112
9, 3, 168
42, 29, 99
66, 144, 195
57, 131, 177
164, 216, 189
100, 4, 232
109, 16, 53
109, 178, 140
109, 181, 169
9, 82, 169
10, 113, 170
44, 112, 147
44, 65, 3
22, 112, 50
9, 5, 169
106, 1, 219
18, 84, 79
18, 28, 97
111, 31, 99
9, 1, 161
39, 203, 221
111, 198, 168
3, 1, 170
38, 89, 225
110, 78, 219
191, 78, 150
21, 184, 219
94, 7, 142
104, 187, 222
105, 27, 95
68, 85, 184
96, 22, 232
5, 84, 212
9, 185, 168
4, 177, 168
9, 3, 169
93, 179, 167
16, 194, 167
85, 169, 222
17, 167, 222
110, 167, 221
39, 162, 222
112, 30, 221
9, 2, 169
4, 82, 211
4, 27, 168
105, 188, 99
41, 57, 221
15, 186, 222
21, 52, 73
105, 28, 111
8, 86, 1
8, 1, 170
112, 93, 167
166, 9, 82
44, 208, 32
107, 8, 40
11, 5, 172
5, 84, 160
5, 23, 1
5, 27, 167
5, 82, 164
97, 23, 53
5, 21, 160
10, 30, 168
8, 174, 170
4, 195, 167
96, 30, 151
8, 87, 171
112, 88, 211
189, 66, 36
93, 205, 107
10, 2, 152
9, 86, 168
8, 3, 169
8, 46, 170
96, 29, 111
97, 5, 167
55, 108, 217
105, 92, 85
74, 159, 154
13, 118, 183
42, 118, 165
101, 3, 112
104, 84, 231
105, 1, 232
105, 82, 73
111, 27, 222
6, 181, 1
96, 84, 219
4, 4, 169
49, 230, 233
15, 212, 191
23, 215, 186
198, 221, 15
0, 230, 11
8, 87, 107
95, 21, 70
104, 21, 64
105, 181, 111
111, 170, 152
6, 120, 87
105, 204, 152
64, 172, 168
66, 124, 161
177, 56, 81
159, 46, 111
65, 161, 149
44, 180, 221
66, 125, 196
49, 128, 172
19, 180, 232
2, 178, 209
5, 29, 169
105, 86, 111
192, 153, 199
66, 79, 170
146, 189, 112
98, 46, 222
0, 21, 88
60, 94, 111
182, 107, 70
76, 110, 81
60, 80, 151
5, 5, 150
55, 156, 67
192, 151, 64
195, 151, 65
205, 103, 79
195, 128, 59
174, 97, 66
186, 100, 223
100, 27, 152
108, 181, 167
5, 2, 167
8, 166, 170
59, 78, 85
4, 34, 168
107, 79, 167
107, 71, 171
8, 180, 168
57, 142, 183
182, 133, 170
161, 129, 180
220, 147, 181
179, 106, 189
13, 216, 179
178, 133, 173
197, 73, 183
181, 206, 180
214, 142, 161
183, 210, 173
175, 129, 179
159, 142, 189
191, 107, 169
3, 180, 121
44, 44, 219
174, 44, 85
163, 97, 141
17, 78, 1
64, 78, 168
221, 144, 194
12, 32, 152
6, 159, 25
66, 126, 189
57, 132, 179
182, 114, 190
178, 126, 161
15, 159, 173
179, 142, 188
176, 139, 161
179, 128, 173
21, 214, 170
195, 133, 172
23, 130, 173
143, 142, 189
186, 132, 173
177, 216, 182
13, 132, 172
182, 138, 170
214, 131, 188
195, 130, 181
13, 132, 173
196, 157, 173
164, 119, 170
162, 143, 180
185, 73, 173
214, 133, 182
100, 2, 222
9, 44, 167
112, 83, 170
66, 157, 189
183, 132, 185
181, 121, 180
100, 202, 85
10, 81, 165
66, 143, 189
66, 118, 170
183, 132, 177
195, 139, 172
176, 130, 182
212, 133, 170
164, 216, 173
205, 131, 186
195, 133, 188
189, 130, 173
181, 142, 166
218, 143, 189
38, 128, 173
182, 210, 181
213, 117, 179
181, 108, 140
170, 133, 188
178, 144, 173
162, 98, 189
183, 214, 173
188, 151, 188
214, 125, 177
179, 142, 172
170, 121, 145
163, 217, 177
164, 129, 173
172, 131, 186
177, 144, 180
21, 75, 173
186, 109, 165
165, 121, 187
189, 119, 170
26, 157, 237
188, 128, 161
162, 133, 170
48, 108, 183
182, 125, 168
202, 37, 82
99, 102, 109
17, 33, 86
49, 89, 167
191, 121, 190
182, 214, 183
84, 166, 82
8, 178, 151
8, 112, 172
20, 93, 107
113, 28, 108
22, 165, 109
94, 27, 127
61, 27, 168
40, 41, 151
14, 128, 233
165, 165, 122
65, 171, 208
4, 2, 152
61, 154, 168
116, 165, 75
95, 166, 150
61, 27, 167
43, 43, 222
101, 41, 175
19, 113, 168
97, 20, 108
97, 91, 147
8, 86, 168
43, 180, 167
6, 81, 219
42, 83, 173
13, 37, 67
60, 90, 210
55, 53, 152
8, 128, 172
180, 139, 188
169, 130, 188
182, 147, 161
193, 79, 161
61, 113, 174
195, 143, 190
197, 214, 172
190, 122, 140
161, 131, 184
195, 108, 161
187, 124, 173
174, 154, 186
212, 117, 189
116, 28, 167
5, 5, 220
112, 181, 211
40, 79, 167
99, 196, 168
60, 90, 202
4, 165, 163
181, 81, 138
3, 90, 164
14, 79, 211
10, 180, 155
183, 111, 48
126, 94, 132
123, 71, 13
117, 95, 227
13, 95, 25
163, 89, 200
76, 88, 121
83, 89, 232
193, 78, 162
160, 89, 147
53, 78, 150
104, 110, 147
16, 33, 221
188, 88, 199
134, 108, 48
60, 165, 30
195, 154, 107
123, 88, 27
21, 97, 51
117, 37, 49
174, 95, 48
13, 94, 32
41, 94, 49
198, 144, 190
168, 129, 173
15, 37, 66
14, 132, 145
117, 41, 61
220, 146, 184
81, 45, 99
159, 79, 181
14, 118, 135
106, 180, 162
199, 140, 184
179, 131, 181
190, 76, 237
169, 124, 189
102, 32, 151
19, 31, 111
81, 30, 211
104, 31, 219
93, 31, 219
81, 31, 150
93, 193, 167
111, 195, 219
111, 2, 152
66, 141, 195
40, 181, 213
21, 8, 180
121, 81, 166
199, 74, 190
21, 139, 170
181, 128, 170
223, 233, 181
190, 114, 145
189, 138, 172
174, 131, 189
88, 2, 49
110, 180, 219
166, 80, 133
196, 231, 161
174, 73, 189
175, 144, 188
192, 71, 170
117, 142, 172
178, 122, 189
15, 90, 87
3, 79, 168
180, 132, 177
9, 84, 27
220, 147, 189
181, 114, 170
185, 147, 173
198, 130, 181
161, 118, 173
21, 139, 177
223, 123, 189
182, 132, 161
13, 132, 188
176, 144, 189
179, 132, 170
14, 142, 173
213, 143, 161
190, 133, 189
171, 142, 193
178, 131, 189
181, 122, 173
179, 140, 188
53, 0, 145
177, 126, 181
212, 117, 173
3, 202, 221
104, 30, 111
104, 31, 167
87, 184, 220
93, 29, 219
2, 87, 211
9, 84, 169
100, 174, 171
97, 82, 172
1, 23, 211
108, 81, 167
108, 2, 167
68, 119, 11
189, 110, 56
100, 5, 150
104, 30, 220
39, 85, 54
104, 82, 125
93, 21, 231
96, 87, 227
5, 3, 1
6, 27, 211
104, 29, 111
22, 165, 125
19, 41, 122
39, 167, 213
104, 186, 227
104, 167, 150
104, 85, 232
96, 84, 48
109, 86, 219
9, 181, 160
4, 3, 1
4, 86, 211
95, 86, 221
96, 86, 151
96, 3, 151
8, 86, 145
43, 8, 87
40, 95, 48
70, 106, 53
17, 94, 55
0, 132, 87
58, 118, 2
11, 87, 53
96, 23, 211
96, 25, 162
95, 27, 219
7, 176, 212
4, 181, 169
68, 113, 170
191, 176, 168
40, 88, 85
161, 186, 229
143, 34, 112
61, 201, 150
40, 170, 152
22, 186, 221
160, 186, 85
22, 186, 85
111, 201, 169
59, 185, 164
43, 11, 151
21, 41, 200
21, 79, 151
10, 201, 168
60, 178, 168
6, 86, 168
95, 200, 150
104, 194, 150
93, 198, 168
87, 198, 167
93, 198, 167
104, 197, 167
93, 177, 152
93, 198, 169
93, 177, 152
7, 195, 168
66, 1, 172
105, 174, 167
163, 92, 201
17, 91, 176
69, 174, 168
53, 81, 169
174, 71, 167
59, 92, 171
10, 4, 168
44, 132, 169
97, 5, 174
97, 16, 162
96, 3, 151
4, 181, 160
105, 30, 221
93, 185, 212
93, 185, 199
96, 195, 167
68, 82, 172
8, 80, 170
110, 165, 81
97, 25, 2
96, 25, 4
96, 16, 174
96, 178, 236
96, 16, 1
4, 196, 169
111, 16, 210
109, 16, 212
4, 178, 169
109, 178, 169
109, 195, 87
9, 3, 169
9, 1, 170
8, 81, 169
43, 20, 164
101, 25, 53
96, 3, 151
95, 85, 219
97, 86, 211
8, 1, 170
60, 205, 171
101, 5, 167
96, 84, 219
4, 177, 135
9, 3, 169
61, 71, 189
163, 194, 111
110, 201, 152
39, 30, 111
18, 185, 219
104, 185, 151
68, 3, 161
59, 83, 168
66, 216, 161
101, 2, 150
66, 143, 189
87, 193, 79
95, 170, 167
96, 185, 167
96, 2, 167
95, 87, 151
5, 86, 167
8, 1, 168
68, 128, 177
39, 180, 107
10, 61, 40
8, 180, 165
8, 81, 170
8, 8, 173
40, 16, 32
105, 113, 243
97, 4, 151
104, 21, 109
111, 84, 151
96, 3, 152
4, 27, 209
4, 16, 1
9, 178, 172
8, 86, 140
96, 36, 111
97, 25, 16
5, 23, 159
97, 23, 206
97, 25, 206
97, 23, 3
97, 25, 159
61, 181, 169
60, 114, 172
43, 71, 180
44, 11, 104
21, 109, 167
160, 110, 79
122, 100, 227
0, 110, 150
39, 88, 2
21, 108, 138
13, 108, 151
40, 80, 165
0, 111, 168
21, 98, 211
194, 106, 166
19, 165, 152
104, 90, 211
15, 88, 211
62, 80, 180
41, 112, 166
21, 46, 171
14, 71, 1
69, 71, 140
57, 121, 188
49, 118, 170
163, 98, 173
162, 133, 186
178, 139, 181
161, 74, 145
102, 5, 82
111, 86, 221
105, 85, 79
93, 27, 221
96, 27, 150
4, 1, 211
109, 1, 210
109, 82, 53
8, 1, 169
7, 88, 168
57, 129, 181
116, 29, 111
60, 84, 211
181, 138, 66
62, 108, 89
108, 3, 152
44, 110, 225
40, 71, 231
112, 88, 123
61, 93, 167
105, 4, 151
60, 93, 151
60, 72, 169
57, 74, 183
38, 119, 165
181, 142, 168
214, 121, 183
195, 119, 145
10, 2, 85
60, 78, 200
183, 89, 211
103, 4, 168
8, 86, 169
112, 28, 151
112, 28, 169
112, 89, 167
185, 38, 221
17, 33, 79
20, 80, 151
69, 90, 166
189, 89, 151
102, 2, 167
109, 5, 167
60, 165, 152
4, 82, 160
40, 77, 99
58, 166, 1
39, 11, 168
190, 154, 87
169, 101, 81
172, 95, 232
188, 33, 82
185, 96, 109
10, 28, 152
112, 89, 172
116, 27, 168
96, 26, 221
65, 78, 152
38, 43, 148
43, 89, 221
187, 99, 151
117, 41, 213
212, 94, 111
138, 154, 109
0, 95, 81
194, 76, 86
174, 33, 81
45, 33, 109
169, 34, 232
188, 72, 108
13, 34, 221
193, 159, 111
175, 34, 221
45, 33, 125
162, 89, 121
19, 99, 111
185, 89, 151
197, 102, 211
53, 97, 165
169, 115, 161
186, 117, 172
106, 34, 165
194, 88, 167
69, 88, 211
198, 139, 170
181, 118, 173
89, 185, 79
95, 29, 107
93, 51, 70
66, 123, 190
183, 134, 183
180, 216, 189
138, 131, 170
