Band0, Band1, Band2
165, 215, 190
190, 142, 173
188, 151, 188
214, 208, 177
197, 75, 3
176, 133, 168
171, 72, 106
194, 144, 1
169, 155, 153
172, 107, 129
175, 144, 155
118, 118, 2
175, 121, 29
179, 72, 40
187, 142, 164
178, 108, 243
161, 133, 133
172, 142, 155
194, 136, 212
195, 129, 243
170, 139, 175
182, 106, 171
204, 116, 200
215, 142, 208
166, 71, 191
12, 81, 169
68, 96, 180
109, 90, 143
108, 34, 139
96, 191, 149
107, 193, 127
108, 171, 166
109, 104, 95
10, 87, 183
9, 110, 167
109, 155, 149
97, 89, 139
106, 46, 227
108, 42, 222
5, 88, 150
5, 20, 221
9, 88, 220
8, 90, 168
9, 85, 168
10, 20, 167
10, 112, 169
5, 83, 134
2, 96, 152
109, 182, 152
76, 185, 127
106, 182, 162
5, 38, 217
8, 84, 169
59, 78, 139
183, 215, 42
3, 82, 103
97, 162, 223
48, 128, 169
163, 71, 103
169, 121, 209
5, 198, 150
94, 193, 168
96, 178, 221
104, 191, 222
59, 83, 162
196, 98, 27
165, 73, 14
72, 72, 155
166, 180, 199
10, 195, 152
96, 187, 127
93, 186, 221
93, 186, 162
85, 176, 221
85, 176, 152
80, 162, 85
104, 182, 123
95, 42, 222
97, 93, 157
4, 90, 221
112, 161, 177
43, 83, 168
161, 222, 31
13, 133, 203
159, 153, 217
238, 121, 10
174, 132, 162
161, 214, 189
174, 133, 186
179, 139, 181
169, 73, 145
191, 119, 165
178, 143, 172
190, 73, 188
181, 133, 186
161, 133, 172
186, 143, 236
196, 128, 161
186, 132, 244
83, 133, 169
38, 130, 188
177, 128, 33
194, 132, 169
165, 133, 9
213, 99, 0
164, 129, 177
214, 130, 13
179, 214, 171
175, 97, 179
162, 215, 11
214, 126, 176
202, 155, 159
168, 132, 244
159, 72, 180
195, 131, 206
166, 109, 177
179, 144, 1
166, 108, 154
175, 97, 176
175, 139, 2
172, 132, 15
195, 216, 155
175, 142, 165
171, 71, 179
212, 228, 162
170, 130, 175
173, 214, 243
166, 129, 1
174, 74, 178
169, 210, 236
178, 142, 174
161, 97, 105
198, 125, 236
169, 97, 155
176, 142, 105
170, 72, 164
10, 85, 107
109, 81, 107
97, 16, 211
97, 83, 53
4, 15, 1
109, 83, 159
4, 1, 150
109, 28, 151
6, 73, 210
9, 161, 167
8, 80, 166
44, 101, 174
183, 107, 176
179, 128, 25
171, 142, 159
136, 133, 178
186, 98, 53
224, 142, 177
189, 130, 3
173, 133, 105
195, 107, 138
166, 216, 2
11, 4, 162
95, 55, 150
97, 16, 149
109, 167, 167
5, 184, 140
9, 1, 168
4, 191, 167
4, 14, 166
59, 14, 168
4, 3, 172
97, 3, 164
92, 201, 167
93, 185, 162
85, 176, 222
93, 184, 221
95, 197, 168
4, 197, 167
95, 176, 167
43, 176, 171
9, 1, 169
96, 195, 167
66, 132, 180
55, 98, 200
165, 118, 237
144, 142, 0
